stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
Contact Dealer,,new,2017 Ford Fiesta,2017,Ford,Fiesta,											,"14,545",,1.6L Ti-VCT I-4 Engine,6-Speed PowerShift® Automatic Transmission with SelectShift® Capability,Shadow Black	,Medium Earth Gray,,http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[|Ford|Fiesta|2017|1|1.|200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/4/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[%7CFord%7CFiesta%7C2017%7C1%7C1.%7C200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/4/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[|Ford|Fiesta|2017|1|1.|200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/1/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[%7CFord%7CFiesta%7C2017%7C1%7C1.%7C200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/1/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[|Ford|Fiesta|2017|1|1.|200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/2/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[%7CFord%7CFiesta%7C2017%7C1%7C1.%7C200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/2/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[|Ford|Fiesta|2017|1|1.|200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/3/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[%7CFord%7CFiesta%7C2017%7C1%7C1.%7C200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/EXT/3/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[|Ford|Fiesta|2017|1|1.|200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/INT/1/vehicle.png|http://build.ford.com/dig/Ford/Fiesta/2017/BP3TM-TILE-EXT/Image[%7CFord%7CFiesta%7C2017%7C1%7C1.%7C200A.P4B..Z9..881.SDN.18C.64V.CLO.44A.SE.89D.]/INT/1/vehicle.png|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-496E-64D0-3D56-97803D569780.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-496E-64D0-3D56-97803D569780.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-0E35-593D-3D56-BC353D56BC35.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-0E35-593D-3D56-BC353D56BC35.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-6E98-EA7C-3D56-F3B53D56F3B5.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-6E98-EA7C-3D56-F3B53D56F3B5.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-7635-71CC-3D57-12583D571258.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-7635-71CC-3D57-12583D571258.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-BCA0-2D73-3D57-481F3D57481F.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-BCA0-2D73-3D57-481F3D57481F.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-6DB2-FA7D-3D57-7B1C3D577B1C.jpg|http://assets.forddirect.fordvehicles.com/assets/2016_Ford_Fiesta_J1/DC/DC2HFAT/DC2HFAT_136B520B-6DB2-FA7D-3D57-7B1C3D577B1C.jpg,http://www.spanglermotors.net/new-inventory/details?lang=en&make=Ford&zipcode=17847&vehicle_type=All&models=Fiesta&models=Focus&models=Fusion&models=Transit+Connect&models=Escape&models=Mustang&models=C-MAX&models=Transit+Connect+Wagon&models=F-150&models=Taurus&models=Edge&models=Flex&models=Transit+VanWagon&models=Explorer&models=SuperDuty&models=Expedition&year=2018&year=2017&year=2016&sort_by=price_desc&view=list&vin=3FADP4BJ8HM139592&index=14&count=14&offset=13&limit=1&match=exact,0,0
CPAA12340-1B,,used,2003 Mercury Grand Marquis,2003,Mercury,Grand Marquis,,"3,995",,4.6L V8 16V MPFI SOHC,4-Speed Automatic,Contact Dealer,,"160,000",http://invassets.dealerconnection.com/vimages/FD569/CPAA12340-1B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_CPAA12340-1B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/CPAA12340-1B_2.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_CPAA12340-1B_2.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=2MEFM75W93X654312&index=1&count=16&offset=0&limit=1&match=exact,0,0
CPAA36159-1A,,used,2009 Saturn Aura,2009,Saturn,Aura,XR,"6,795",,2.4L I4 16V MPFI DOHC,6-Speed Automatic,Contact Dealer,,"99,000",http://invassets.dealerconnection.com/vimages/FD569/CPAA36159-1A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_CPAA36159-1A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/CPAA36159-1A_2.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_CPAA36159-1A_2.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1G8ZS57BX9F136159&index=5&count=16&offset=4&limit=1&match=exact,0,0
ED17-11A,,used,2013 Ford Edge,2013,Ford,Edge,,"19,895",,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Contact Dealer,,"32,000",http://invassets.dealerconnection.com/vimages/FD569/ED17-11A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_ED17-11A_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=2FMDK4JC4DBC80162&index=16&count=16&offset=15&limit=1&match=exact,0,0
ED17-3A,,used,2011 Ford Edge,2011,Ford,Edge,SE,"10,995",,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Contact Dealer,,"94,000",http://invassets.dealerconnection.com/vimages/FD569/ED17-3A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_ED17-3A_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=2FMDK3GC1BBA05122&index=10&count=16&offset=9&limit=1&match=exact,0,0
ED17-8B,,used,2011 Ford Fusion,2011,Ford,Fusion,S,"9,895",,2.5L I4 16V MPFI DOHC,6-Speed Automatic,Contact Dealer,,"93,000",http://invassets.dealerconnection.com/vimages/FD569/ED17-8B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_ED17-8B_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=3FAHP0JA0BR284406&index=9&count=16&offset=8&limit=1&match=exact,0,0
FC17-22A,,used,2007 Hyundai Santa Fe,2007,Hyundai,Santa Fe,,"8,995",,3.3L V6 24V MPFI DOHC,5-Speed Automatic,Contact Dealer,,"102,000",http://invassets.dealerconnection.com/vimages/FD569/FC17-22A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FC17-22A_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=5NMSH73EX7H051663&index=8&count=16&offset=7&limit=1&match=exact,0,0
FL15-30A,,used,2012 Ford Flex,2012,Ford,Flex,SE,"18,395",,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Silver,,"57,000",http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_2.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_2.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_3.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_3.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_4.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_4.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_5.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_5.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_6.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_6.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_7.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_7.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_8.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_8.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_9.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_9.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_10.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_10.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_11.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_11.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_12.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_12.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_13.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_13.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_14.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_14.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_15.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_15.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_16.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_16.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_17.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_17.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_18.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_18.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_19.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_19.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_20.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_20.jpg|http://invassets.dealerconnection.com/vimages/FD569/FL15-30A_21.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FL15-30A_21.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=2FMHK6DC7CBD02484&index=15&count=16&offset=14&limit=1&match=exact,0,0
FS17-20A,,used,2007 Ford Fusion,2007,Ford,Fusion,,"5,995",,2.3L I4 16V MPFI DOHC,Contact Dealer,Contact Dealer,,"109,000",http://invassets.dealerconnection.com/vimages/FD569/FS17-20A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_FS17-20A_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=3FAHP08Z57R114870&index=4&count=16&offset=3&limit=1&match=exact,0,0
FT17-16A,,used,2012 Ford Fiesta,2012,Ford,Fiesta,S Sedan,"4,995",,1.6L I4 16V MPFI DOHC,Contact Dealer,Contact Dealer,,"153,000",http://www.spanglermotors.net/static/img/inventory/coming-soon_en.png|http://www.spanglermotors.net/static/img/inventory/coming-soon_en.png,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=3FADP4BJ2CM117032&index=3&count=18&offset=2&limit=1&match=exact,0,1
T17-18B,,used,2007 Dodge Nitro,2007,Dodge,Nitro,SXT 4x4,"8,295",,3.7L V6 12V MPFI SOHC,Contact Dealer,Contact Dealer,,"96,000",http://invassets.dealerconnection.com/vimages/FD569/T17-18B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-18B_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1D8GU28K07W587670&index=6&count=16&offset=5&limit=1&match=exact,0,0
T17-19B,,used,2008 Toyota Camry,2008,Toyota,Camry,,"4,995",,2.4L I4 16V MPFI DOHC,Contact Dealer,Contact Dealer,,"208,000",http://invassets.dealerconnection.com/vimages/FD569/T17-19B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-19B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/T17-19B_2.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-19B_2.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=4T1BE46K08U229465&index=3&count=16&offset=2&limit=1&match=exact,0,0
T17-25B,,used,2009 Ford F-150,2009,Ford,F-150,XLT,"15,995",,4.6L V8 24V MPFI SOHC,6-Speed Automatic,Contact Dealer,,"122,000",http://invassets.dealerconnection.com/vimages/FD569/T17-25B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-25B_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1FTRW14889FB04631&index=12&count=16&offset=11&limit=1&match=exact,0,0
T17-28A,,used,2012 Chevrolet Cruze,2012,Chevrolet,Cruze,LS,"7,995",,1.8L I4 16V MPFI DOHC,Contact Dealer,Contact Dealer,,"60,000",http://invassets.dealerconnection.com/vimages/FD569/T17-28A_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-28A_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1G1PD5SH5C7365149&index=7&count=18&offset=6&limit=1&match=exact,0,1
T17-35B,,used,2004 Ford Explorer,2004,Ford,Explorer,,"4,995",,4.0L V6 12V MPFI SOHC Flexible Fuel,5-Speed Automatic,Contact Dealer,,"155,000",http://invassets.dealerconnection.com/vimages/FD569/T17-35B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-35B_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1FMZU74E44UC37854&index=2&count=16&offset=1&limit=1&match=exact,0,0
T17-37B,,used,2007 Ford Expedition EL,2007,Ford,Expedition,,"13,995",,5.4L V8 24V MPFI SOHC,6-Speed Automatic,Contact Dealer,,"116,000",http://invassets.dealerconnection.com/vimages/FD569/T17-37B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-37B_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/T17-37B_2.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-37B_2.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1FMFK20537LA56739&index=11&count=16&offset=10&limit=1&match=exact,0,0
T17-45A(1),,used,2006 Pontiac Solstice,2006,Pontiac,Solstice,,"8,995",,2.4L I4 16V MPFI DOHC,Contact Dealer,Contact Dealer,,"21,000",http://invassets.dealerconnection.com/vimages/FD569/T17-45A(1)_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-45A(1)_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1G2MB35B76Y112400&index=7&count=16&offset=6&limit=1&match=exact,0,0
T17-45A(2),,used,2011 Chevrolet Silverado 1500,2011,Chevrolet,Silverado 1500,,"15,995",,4.8L V8 16V MPFI OHV Flexible Fuel,Automatic,Contact Dealer,,"40,000",http://invassets.dealerconnection.com/vimages/FD569/T17-45A(2)_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-45A(2)_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=1GCNCPEA8BZ255274&index=13&count=16&offset=12&limit=1&match=exact,0,0
T17-45A(3),,used,2015 Ford Fusion,2015,Ford,Fusion,,"16,995",,1.5L I4 16V GDI DOHC Turbo,Contact Dealer,Contact Dealer,,"15,000",http://invassets.dealerconnection.com/vimages/FD569/T17-45A(3)_1.jpg|http://invassets.dealerconnection.com/vimages/FD569/tn_T17-45A(3)_1.jpg,http://www.spanglermotors.net/used-inventory/details/?lang=en&sort_by=price_asc&view=list&vin=3FA6P0HD8FR210826&index=14&count=16&offset=13&limit=1&match=exact,0,0
